HF,HST,HY,HR,HPr5MW,HPr5MD,HPr5ML,HTHG,AF,AST,AY,AR,APr5MW,APr5MD,APr5ML,HTAG,RstDayDiff,B365HDstDrw,B365ADstDrw,FTR
0.5,0.0,-0.5,0.0,0.2,0.2,0.2,1.0,1.1666666666666667,-0.5,0.0,0.0,0.2,0.4,0.0,0.0,-0.5,0.14708801253591028,-0.039038189533239176,H
0.16666666666666666,0.25,-1.0,0.0,0.0,0.4,0.2,1.0,-1.3333333333333333,0.25,-1.0,0.0,0.4,0.0,0.2,0.0,0.5,0.4841395904422248,0.015912305516265855,H
1.0,-0.5,-0.5,0.0,0.2,0.4,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.2,0.2,0.2,0.0,0.0,-0.3954575337037667,0.7956152758132955,D
0.8333333333333334,-0.5,-1.0,0.0,0.2,0.2,0.2,0.0,1.5,0.0,0.0,0.0,0.0,0.4,0.2,1.0,-0.5,-0.3319694727372973,0.5728429985855727,A
0.0,0.75,0.0,0.0,0.4,0.2,0.0,1.0,1.1666666666666667,-0.5,0.5,0.0,0.2,0.2,0.2,1.0,0.5,1.6087751371115178,-0.6524045261669025,H
0.6666666666666666,-0.75,-1.0,0.0,0.4,0.2,0.0,0.0,1.1666666666666667,-0.5,-1.0,0.0,0.0,0.2,0.4,1.0,0.5,2.1349534714299465,-0.6647807637906648,A
0.5,-0.25,-0.5,0.0,0.2,0.2,0.2,0.0,1.0,-0.5,-0.5,0.0,0.0,0.2,0.4,0.0,0.0,1.4086358492208588,-0.5524752475247525,D
0.16666666666666666,0.75,-1.0,0.0,0.4,0.2,0.0,1.0,0.5,0.25,0.0,0.0,0.0,0.2,0.4,0.0,-0.5,1.877467623246739,-0.6589566519677178,H
-0.16666666666666666,0.0,-1.0,0.0,0.2,0.0,0.4,0.0,-0.3333333333333333,1.75,-0.5,0.0,0.2,0.2,0.2,0.0,0.0,-0.528597545050927,1.2305516265912302,A
-0.3333333333333333,-0.75,-1.0,0.0,0.2,0.4,0.2,1.0,0.0,1.25,-1.0,0.0,0.2,0.4,0.2,1.0,0.0,-0.6894750587620788,1.7168087465117172,A
1.3333333333333333,0.25,0.0,0.0,0.2,0.2,0.4,0.0,0.6666666666666666,-0.25,1.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,-0.04596500391747198,0.15471657055815416,A
0.0,0.5,-0.5,0.0,0.6000000000000001,0.2,0.0,1.0,-0.8333333333333334,-0.5,0.5,0.0,0.2,0.4,0.2,0.0,-0.5,0.35227277592488737,-0.2143200133276277,H
0.6666666666666666,1.0,-1.0,0.0,0.2,0.4,0.2,1.0,1.5,-1.0,1.0,0.0,0.2,0.2,0.4,0.0,0.0,0.8424477628823279,-0.5261669024045262,H
-0.3333333333333333,0.25,0.0,0.0,0.2,0.4,0.2,0.0,-0.5,-0.25,0.0,0.0,0.2,0.0,0.6000000000000001,0.0,1.0,-0.23901802037085382,0.41371994342291385,H
0.3333333333333333,-0.75,-0.5,0.0,0.0,0.4,0.4,1.0,0.5,0.5,-1.0,0.0,0.4,0.2,0.2,0.0,-0.5,0.06894750587620786,0.12729844413012725,H
1.8333333333333333,0.0,1.0,1.0,0.4,0.0,0.4,0.0,-0.3333333333333333,1.5,0.0,1.0,0.6000000000000001,0.2,0.0,1.0,0.0,0.19535126664925587,0.07779349363507772,A
1.1666666666666667,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,1.0,1.8333333333333333,-0.5,0.0,0.0,0.4,0.2,0.2,1.0,-0.5,-0.5837555497518934,1.1456859971711453,A
1.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.5,-0.25,-0.5,0.0,0.2,0.2,0.4,0.0,-0.5,1.877467623246739,-0.6589566519677178,D
-0.3333333333333333,-0.75,-1.0,0.0,0.6000000000000001,0.2,0.2,0.0,0.6666666666666666,0.25,-0.5,0.0,0.4,0.0,0.6000000000000001,0.0,-0.5,-0.035239836336728565,0.2997673039193322,A
-0.8333333333333334,1.25,-1.0,0.0,0.4,0.4,0.2,0.0,-0.6666666666666666,0.0,-1.0,0.0,0.2,0.4,0.4,0.0,0.0,4.2812276084670975,-0.8751768033946252,H
1.5,0.0,1.0,0.0,0.2,0.2,0.6000000000000001,2.0,1.1666666666666667,0.5,0.5,0.0,0.4,0.4,0.2,1.0,0.0,0.06894750587620786,0.12729844413012725,A
0.5,0.0,0.5,0.0,0.2,0.4,0.4,0.0,0.8333333333333334,0.0,-1.0,0.0,0.2,0.4,0.4,1.0,-0.5,-0.3878297205536693,0.7956152758132955,D
-0.16666666666666666,0.5,0.5,0.0,0.4,0.2,0.4,2.0,-1.0,0.75,0.0,0.0,0.4,0.4,0.2,1.0,0.0,-0.3998955340820056,0.9796445483057624,A
0.3333333333333333,-1.0,1.0,0.0,0.2,0.4,0.4,0.0,1.8333333333333333,-0.5,0.0,0.0,0.0,0.2,0.8,1.0,0.5,1.4086358492208588,-0.5524752475247525,A
1.0,-1.0,-0.5,0.0,0.4,0.6000000000000001,0.0,1.0,1.0,0.5,-0.5,0.0,0.8,0.2,0.0,1.0,0.0,-0.528597545050927,1.6352953976716358,D
-0.3333333333333333,-0.5,-0.5,0.0,0.2,0.0,0.8,0.0,0.0,0.25,-1.0,0.0,0.2,0.2,0.6000000000000001,3.0,0.0,0.274947732857129,-0.09547383309759552,A
0.3333333333333333,-0.5,-0.5,0.0,0.8,0.2,0.0,0.0,0.0,-0.75,-1.0,0.0,0.4,0.4,0.2,0.0,0.5,-0.02498098038993014,0.49602497195532347,D
0.0,-0.75,-0.5,0.0,0.2,0.4,0.4,0.0,1.0,-0.25,0.0,0.0,0.2,0.0,0.8,1.0,0.0,0.22441029399498755,-0.14002828854314012,A
-0.16666666666666666,-0.5,-1.0,0.0,0.0,0.6000000000000001,0.4,0.0,-0.16666666666666666,0.25,-0.5,0.0,0.4,0.2,0.4,1.0,-0.5,-0.23901802037085382,0.41371994342291385,A
-0.16666666666666666,-0.25,-0.5,1.0,0.2,0.8,0.0,0.0,0.3333333333333333,1.5,-1.0,0.0,0.2,0.4,0.4,2.0,-0.5,-0.3954575337037667,0.7956152758132955,A
0.6666666666666666,-1.0,0.5,1.0,0.2,0.2,0.6000000000000001,0.0,1.5,-0.25,0.0,0.0,0.8,0.2,0.0,0.0,0.5,-0.5554104640027857,1.463932107496464,A
0.8333333333333334,-0.25,0.0,0.0,0.8,0.2,0.0,0.0,0.8333333333333334,0.25,0.5,0.0,0.6000000000000001,0.2,0.2,0.0,-0.5,-0.4351847951541291,1.0381895332390376,H
-1.0,0.5,-1.0,0.0,0.4,0.6000000000000001,0.0,1.0,0.6666666666666666,-0.5,-0.5,0.0,0.6000000000000001,0.2,0.2,0.0,-0.5,1.877467623246739,-0.6589566519677178,H
0.3333333333333333,0.25,0.0,0.0,0.4,0.0,0.6000000000000001,2.0,0.16666666666666666,0.75,0.0,0.0,0.2,0.6000000000000001,0.2,1.0,0.5,1.877467623246739,-0.6589566519677178,H
-1.5,0.0,-1.0,0.0,0.4,0.0,0.6000000000000001,0.0,0.3333333333333333,-0.25,-0.5,0.0,0.4,0.0,0.6000000000000001,0.0,-0.5,0.14708801253591028,-0.039038189533239176,H
0.8333333333333334,0.25,0.0,0.0,0.6000000000000001,0.2,0.2,3.0,-0.16666666666666666,-0.25,-0.5,0.0,0.0,0.0,1.0,1.0,0.5,1.0801775920605903,-0.6364922206506366,H
2.5,0.25,1.0,0.0,0.4,0.2,0.4,0.0,1.1666666666666667,-0.75,0.5,1.0,0.2,0.6000000000000001,0.2,0.0,0.0,1.0801775920605903,-0.6364922206506366,H
-0.5,-0.75,-0.5,0.0,0.6000000000000001,0.0,0.4,0.0,1.5,-0.75,1.0,0.0,0.2,0.2,0.6000000000000001,0.0,0.0,3.6489431388583253,-0.6017744631606018,D
1.0,-0.75,-0.5,1.0,0.4,0.0,0.6000000000000001,0.0,-0.3333333333333333,0.25,0.0,0.0,0.4,0.0,0.6000000000000001,0.0,0.5,-0.6664925568033429,1.851044589236441,D
-0.8333333333333334,1.0,-1.0,0.0,0.2,0.4,0.4,3.0,0.3333333333333333,0.0,0.0,0.0,0.6000000000000001,0.0,0.4,1.0,0.5,0.06894750587620786,0.12729844413012725,H
0.16666666666666666,0.75,-1.0,0.0,0.8,0.2,0.0,3.0,0.3333333333333333,-0.75,-0.5,0.0,0.2,0.2,0.6000000000000001,0.0,-0.5,1.6087751371115178,-0.6524045261669025,H
1.6666666666666667,-0.5,2.0,0.0,0.6000000000000001,0.0,0.4,2.0,1.5,-0.25,-0.5,0.0,0.8,0.2,0.0,0.0,0.5,-0.625124053277618,1.8131427042318125,H
-0.8333333333333334,-0.5,-0.5,0.0,0.2,0.0,0.8,0.0,0.5,-0.25,-0.5,0.0,0.0,0.6000000000000001,0.4,1.0,-0.5,-0.3954575337037667,0.8162076711872871,A
1.5,-0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,-0.25,-1.0,0.0,0.8,0.2,0.0,3.0,-0.5,-0.7699138156176546,2.3470174220159397,A
0.6666666666666666,-0.5,0.0,0.0,0.2,0.4,0.4,0.0,0.16666666666666666,0.5,-0.5,0.0,0.6000000000000001,0.4,0.0,1.0,0.0,-0.18110211543483914,0.589344648750589,A
0.8333333333333334,0.0,-0.5,0.0,0.2,0.4,0.4,1.0,1.5,0.25,0.0,0.0,0.2,0.4,0.4,0.0,0.5,-0.002089318359885178,0.23868458274398863,H
0.5,-0.25,-0.5,0.0,0.2,0.2,0.6000000000000001,1.0,0.6666666666666666,-1.0,-1.0,0.0,0.6000000000000001,0.0,0.4,0.0,0.0,0.03260308417402088,0.2095528234142096,H
-0.5,-0.75,-1.0,0.0,0.6000000000000001,0.0,0.4,0.0,0.0,0.5,-1.0,0.0,0.6000000000000001,0.2,0.2,1.0,0.0,-0.882528075215461,2.6586726006540595,A
0.6666666666666666,-1.25,-0.5,0.0,0.8,0.2,0.0,0.0,1.5,-0.25,0.5,0.0,0.8,0.2,0.0,0.0,-0.5,0.03260308417402088,0.2095528234142096,D
0.16666666666666666,0.75,-0.5,0.0,0.2,0.2,0.6000000000000001,2.0,1.1666666666666667,-0.25,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.03260308417402088,0.2095528234142096,H
0.8333333333333334,0.5,1.0,0.0,0.2,0.2,0.6000000000000001,0.0,1.1666666666666667,0.0,0.5,0.0,0.6000000000000001,0.0,0.4,1.0,-1.0,-0.21971271872551582,0.4837340876944836,A
